Time,Total_CPU_Percent,Per_Core_CPU_Avg,Current_Memory_GB,Total_Memory_GB,Memory_Percent
50.0,400.0,3.1,13.09,268.81,4.9
50.2,400.0,3.1,13.10,268.81,4.9
50.4,400.0,3.1,13.12,268.81,4.9
50.6,400.0,3.1,13.13,268.81,4.9
50.8,400.0,3.1,13.14,268.81,4.9
51.0,400.0,3.1,13.16,268.81,4.9
51.2,400.0,3.1,13.17,268.81,4.9
51.4,400.0,3.1,13.18,268.81,4.9
51.6,400.0,3.1,13.19,268.81,4.9
51.8,428.2,3.3,13.20,268.81,4.9
52.0,400.0,3.1,13.21,268.81,4.9
52.2,409.1,3.2,13.22,268.81,4.9
52.4,418.2,3.3,13.24,268.81,4.9
52.6,400.0,3.1,13.24,268.81,4.9
52.8,400.0,3.1,13.25,268.81,4.9
53.0,420.0,3.3,13.26,268.81,4.9
53.2,409.1,3.2,13.27,268.81,4.9
53.4,400.0,3.1,13.28,268.81,4.9
53.6,418.2,3.3,13.29,268.81,4.9
53.8,400.0,3.1,13.30,268.81,4.9
54.0,400.0,3.1,13.30,268.81,4.9
54.2,400.0,3.1,13.31,268.81,5.0
54.4,400.0,3.1,13.32,268.81,5.0
54.6,400.0,3.1,13.33,268.81,5.0
54.8,400.0,3.1,13.34,268.81,5.0
55.0,400.0,3.1,13.35,268.81,5.0
55.2,400.0,3.1,13.35,268.81,5.0
55.4,400.0,3.1,13.36,268.81,5.0
55.6,400.0,3.1,13.37,268.81,5.0
55.8,400.0,3.1,13.38,268.81,5.0
56.0,400.0,3.1,13.40,268.81,5.0
56.2,400.0,3.1,13.41,268.81,5.0
56.4,400.0,3.1,13.42,268.81,5.0
56.6,400.0,3.1,13.43,268.81,5.0
56.8,400.0,3.1,13.44,268.81,5.0
57.0,400.0,3.1,13.45,268.81,5.0
57.2,400.0,3.1,13.46,268.81,5.0
57.4,400.0,3.1,13.47,268.81,5.0
57.6,400.0,3.1,13.49,268.81,5.0
57.8,400.0,3.1,13.49,268.81,5.0
58.0,400.0,3.1,13.50,268.81,5.0
58.2,400.0,3.1,13.50,268.81,5.0
58.4,400.0,3.1,13.51,268.81,5.0
58.6,418.2,3.3,13.52,268.81,5.0
58.8,400.0,3.1,13.52,268.81,5.0
59.0,400.0,3.1,13.53,268.81,5.0
59.2,400.0,3.1,13.54,268.81,5.0
59.4,400.0,3.1,13.55,268.81,5.0
59.6,400.0,3.1,13.55,268.81,5.0
59.8,400.0,3.1,13.55,268.81,5.0
60.0,409.1,3.2,13.56,268.81,5.0
60.2,400.0,3.1,13.57,268.81,5.0
60.4,400.0,3.1,13.58,268.81,5.1
60.6,409.1,3.2,13.59,268.81,5.1
60.8,400.0,3.1,13.59,268.81,5.1
61.0,400.0,3.1,13.60,268.81,5.1
61.2,400.0,3.1,13.60,268.81,5.1
61.4,400.0,3.1,13.61,268.81,5.1
61.6,400.0,3.1,13.61,268.81,5.1
61.8,400.0,3.1,13.62,268.81,5.1
62.0,409.1,3.2,13.63,268.81,5.1
62.2,409.1,3.2,13.63,268.81,5.1
62.4,400.0,3.1,13.64,268.81,5.1
62.6,400.0,3.1,13.65,268.81,5.1
62.8,400.0,3.1,13.65,268.81,5.1
63.0,400.0,3.1,13.66,268.81,5.1
63.2,400.0,3.1,13.67,268.81,5.1
63.4,400.0,3.1,13.68,268.81,5.1
63.6,400.0,3.1,13.69,268.81,5.1
63.8,418.2,3.3,13.70,268.81,5.1
64.0,400.0,3.1,13.71,268.81,5.1
64.2,400.0,3.1,13.73,268.81,5.1
64.4,400.0,3.1,13.73,268.81,5.1
64.6,400.0,3.1,13.74,268.81,5.1
64.8,400.0,3.1,13.75,268.81,5.1
65.0,400.0,3.1,13.76,268.81,5.1
65.2,400.0,3.1,13.77,268.81,5.1
65.4,400.0,3.1,13.78,268.81,5.1
65.6,400.0,3.1,13.79,268.81,5.1
65.8,400.0,3.1,13.80,268.81,5.1
66.0,409.1,3.2,13.81,268.81,5.1
66.2,400.0,3.1,13.82,268.81,5.1
66.4,409.1,3.2,13.83,268.81,5.1
66.6,400.0,3.1,13.83,268.81,5.1
66.8,409.1,3.2,13.84,268.81,5.1
67.0,400.0,3.1,13.85,268.81,5.2
67.2,400.8,3.1,13.86,268.81,5.2
67.4,400.0,3.1,13.87,268.81,5.2
67.6,400.0,3.1,13.88,268.81,5.2
67.8,410.0,3.2,13.88,268.81,5.2
68.0,400.0,3.1,13.89,268.81,5.2
68.2,400.0,3.1,13.90,268.81,5.2
68.4,409.1,3.2,13.90,268.81,5.2
68.6,409.1,3.2,13.91,268.81,5.2
68.8,400.0,3.1,13.92,268.81,5.2
69.0,400.0,3.1,13.93,268.81,5.2
69.2,409.1,3.2,13.94,268.81,5.2
69.4,400.0,3.1,13.95,268.81,5.2
69.6,409.1,3.2,13.96,268.81,5.2
69.8,400.0,3.1,13.96,268.81,5.2
70.0,400.0,3.1,13.97,268.81,5.2
70.2,400.0,3.1,13.98,268.81,5.2
70.4,409.1,3.2,14.00,268.81,5.2
70.6,400.0,3.1,14.01,268.81,5.2
70.8,409.1,3.2,14.02,268.81,5.2
71.0,400.0,3.1,14.03,268.81,5.2
71.2,400.0,3.1,14.03,268.81,5.2
71.4,400.0,3.1,14.04,268.81,5.2
71.6,400.0,3.1,14.05,268.81,5.2
71.8,400.0,3.1,14.05,268.81,5.2
72.0,400.0,3.1,14.06,268.81,5.2
72.2,409.1,3.2,14.07,268.81,5.2
72.4,400.0,3.1,14.08,268.81,5.2
72.6,400.0,3.1,14.08,268.81,5.2
72.8,400.0,3.1,14.08,268.81,5.2
73.0,400.0,3.1,14.09,268.81,5.2
73.2,400.0,3.1,14.10,268.81,5.2
73.4,400.0,3.1,14.11,268.81,5.2
73.6,400.0,3.1,14.11,268.81,5.3
73.8,400.0,3.1,14.12,268.81,5.3
74.0,400.0,3.1,14.13,268.81,5.3
74.2,409.1,3.2,14.14,268.81,5.3
74.4,400.0,3.1,14.15,268.81,5.3
74.6,400.0,3.1,14.16,268.81,5.3
74.8,400.0,3.1,14.16,268.81,5.3
75.0,400.0,3.1,14.17,268.81,5.3
75.2,400.0,3.1,14.17,268.81,5.3
75.4,400.0,3.1,14.18,268.81,5.3
75.6,400.0,3.1,14.19,268.81,5.3
75.8,400.0,3.1,14.19,268.81,5.3
76.0,400.0,3.1,14.20,268.81,5.3
76.2,400.0,3.1,14.21,268.81,5.3
76.4,400.0,3.1,14.21,268.81,5.3
76.6,400.0,3.1,14.21,268.81,5.3
76.8,400.0,3.1,14.21,268.81,5.3
77.0,400.0,3.1,14.22,268.81,5.3
77.2,179.9,1.4,14.20,268.81,5.3
77.4,44.0,0.3,5.73,268.81,2.1
77.6,2599.0,20.3,5.73,268.81,2.1
